;Abgeordnete;Partei;Vorname;Nachname;E-Mail;Wahlkreis;PLZ
356;Holger Mann;SPD;Holger;Mann;holger.mann@bundestag.de;Leipzig I;['04129', '04155', '04157', '04158', '04159', '04177', '04178', '04179', '04315', '04316', '04318', '04319', '04328', '04329', '04347', '04349', '04356', '04357']
357;Jens Lehmann;CDU/CSU (CDU);Jens;Lehmann;jens.lehmann@bundestag.de;Leipzig I;['04129', '04155', '04157', '04158', '04159', '04177', '04178', '04179', '04315', '04316', '04318', '04319', '04328', '04329', '04347', '04349', '04356', '04357']
358;Paula Piechotta;Grüne;Paula;Piechotta;paula.piechotta@bundestag.de;Leipzig II;['04103', '04105', '04107', '04109', '04205', '04207', '04209', '04229', '04249', '04275', '04277', '04279', '04288', '04289', '04299', '04317']
359;Nadja Sthamer;SPD;Nadja;Sthamer;nadja.sthamer@bundestag.de;Leipzig II;['04103', '04105', '04107', '04109', '04205', '04207', '04209', '04229', '04249', '04275', '04277', '04279', '04288', '04289', '04299', '04317']
360;Sören Pellmann;Linke;Sören;Pellmann;sören.pellmann@bundestag.de;Leipzig II;['04103', '04105', '04107', '04109', '04205', '04207', '04209', '04229', '04249', '04275', '04277', '04279', '04288', '04289', '04299', '04317']
361;Franziska Mascheck;SPD;Franziska;Mascheck;franziska.mascheck@bundestag.de;Leipzig-Land;['04416', '04420', '04442', '04451', '04460', '04463', '04523', '04539', '04552', '04564', '04565', '04567', '04571', '04574', '04575', '04579', '04643', '04651', '04654', '04655', '04657', '04668', '04680', '04683', '04685', '04687', '04688', '04808', '04821', '04824', '04827', '04828']
362;Edgar Naujok;AfD;Edgar;Naujok;edgar.naujok@bundestag.de;Leipzig-Land;['04416', '04420', '04442', '04451', '04460', '04463', '04523', '04539', '04552', '04564', '04565', '04567', '04571', '04574', '04575', '04579', '04643', '04651', '04654', '04655', '04657', '04668', '04680', '04683', '04685', '04687', '04688', '04808', '04821', '04824', '04827', '04828']
363;Serap Güler;CDU/CSU (CDU);Serap;Güler;serap.güler@bundestag.de;Leverkusen – Köln IV;['51061', '51063', '51065', '51067', '51069', '51371', '51373', '51375', '51377', '51379', '51381']
364;Karl Lauterbach;SPD;Karl;Lauterbach;karl.lauterbach@bundestag.de;Leverkusen – Köln IV;['51061', '51063', '51065', '51067', '51069', '51371', '51373', '51375', '51377', '51379', '51381']
365;Nyke Slawik;Grüne;Nyke;Slawik;nyke.slawik@bundestag.de;Leverkusen – Köln IV;['51061', '51063', '51065', '51067', '51069', '51371', '51373', '51375', '51377', '51379', '51381']
366;Jürgen Berghahn;SPD;Jürgen;Berghahn;jürgen.berghahn@bundestag.de;Lippe I;['32105', '32107', '32108', '32657', '32683', '32689', '32694', '32699', '32791', '32825', '33813', '33818']
367;Kerstin Vieregge;CDU/CSU (CDU);Kerstin;Vieregge;kerstin.vieregge@bundestag.de;Lippe I;['32105', '32107', '32108', '32657', '32683', '32689', '32694', '32699', '32791', '32825', '33813', '33818']
368;Christian Sauter;FDP;Christian;Sauter;christian.sauter@bundestag.de;Lippe I;['32105', '32107', '32108', '32657', '32683', '32689', '32694', '32699', '32791', '32825', '33813', '33818']
369;Robin Wagener;Grüne;Robin;Wagener;robin.wagener@bundestag.de;Lippe I;['32105', '32107', '32108', '32657', '32683', '32689', '32694', '32699', '32791', '32825', '33813', '33818']
370;Christoph Hoffmann;FDP;Christoph;Hoffmann;christoph.hoffmann@bundestag.de;Lörrach – Müllheim;['79189', '79219', '79244', '79258', '79282', '79295', '79379', '79395', '79400', '79410', '79415', '79418', '79423', '79424', '79426', '79427', '79429', '79539', '79540', '79541', '79576', '79585', '79588', '79589', '79591', '79592', '79594', '79595', '79597', '79599', '79618', '79630', '79639', '79650', '79669', '79674', '79677', '79683', '79685', '79686', '79688', '79689', '79691', '79692', '79694', '79695', '79697', '79699', '79739', '83565']
371;Diana Stöcker;CDU/CSU (CDU);Diana;Stöcker;diana.stöcker@bundestag.de;Lörrach – Müllheim;['79189', '79219', '79244', '79258', '79282', '79295', '79379', '79395', '79400', '79410', '79415', '79418', '79423', '79424', '79426', '79427', '79429', '79539', '79540', '79541', '79576', '79585', '79588', '79589', '79591', '79592', '79594', '79595', '79597', '79599', '79618', '79630', '79639', '79650', '79669', '79674', '79677', '79683', '79685', '79686', '79688', '79689', '79691', '79692', '79694', '79695', '79697', '79699', '79739', '83565']
372;Takis Mehmet Ali;SPD;Takis;Mehmet;takis.mehmet@bundestag.de;Lörrach – Müllheim;['79189', '79219', '79244', '79258', '79282', '79295', '79379', '79395', '79400', '79410', '79415', '79418', '79423', '79424', '79426', '79427', '79429', '79539', '79540', '79541', '79576', '79585', '79588', '79589', '79591', '79592', '79594', '79595', '79597', '79599', '79618', '79630', '79639', '79650', '79669', '79674', '79677', '79683', '79685', '79686', '79688', '79689', '79691', '79692', '79694', '79695', '79697', '79699', '79739', '83565']
373;Tim Klüssendorf;SPD;Tim;Klüssendorf;tim.klüssendorf@bundestag.de;Lübeck;['22929', '22959', '23552', '23554', '23556', '23558', '23560', '23562', '23564', '23566', '23568', '23569', '23570', '23628', '23847', '23847', '23847', '23847', '23847', '23847', '23847', '23847', '23847', '23847', '23847', '23860', '23898', '23898', '23898', '23898', '23898', '23898', '23919']
374;Bruno Hönel;Grüne;Bruno;Hönel;bruno.hönel@bundestag.de;Lübeck;['22929', '22959', '23552', '23554', '23556', '23558', '23560', '23562', '23564', '23566', '23568', '23569', '23570', '23628', '23847', '23847', '23847', '23847', '23847', '23847', '23847', '23847', '23847', '23847', '23847', '23860', '23898', '23898', '23898', '23898', '23898', '23898', '23919']
375;Julia Verlinden;Grüne;Julia;Verlinden;julia.verlinden@bundestag.de;Lüchow-Dannenberg – Lüneburg;['19273', '21335', '21337', '21339', '21354', '21357', '21358', '21360', '21365', '21368', '21369', '21371', '21379', '21380', '21382', '21385', '21386', '21388', '21391', '21394', '21397', '21398', '21400', '21401', '21403', '21406', '21407', '21409', '21447', '21449', '21522', '29439', '29451', '29456', '29459', '29462', '29465', '29468', '29471', '29472', '29473', '29475', '29476', '29478', '29479', '29481', '29482', '29484', '29485', '29487', '29488', '29490', '29491', '29493', '29494', '29496', '29497', '29499']
376;Jakob Blankenburg;SPD;Jakob;Blankenburg;jakob.blankenburg@bundestag.de;Lüchow-Dannenberg – Lüneburg;['19273', '21335', '21337', '21339', '21354', '21357', '21358', '21360', '21365', '21368', '21369', '21371', '21379', '21380', '21382', '21385', '21386', '21388', '21391', '21394', '21397', '21398', '21400', '21401', '21403', '21406', '21407', '21409', '21447', '21449', '21522', '29439', '29451', '29456', '29459', '29462', '29465', '29468', '29471', '29472', '29473', '29475', '29476', '29478', '29479', '29481', '29482', '29484', '29485', '29487', '29488', '29490', '29491', '29493', '29494', '29496', '29497', '29499']
377;Martin Hess;AfD;Martin;Hess;martin.hess@bundestag.de;Ludwigsburg;['70806', '70825', '70839', '71254', '71282', '71634', '71636', '71638', '71640', '71642', '71665', '71679', '71686', '71696', '71701', '71706', '71735', '71739', '74372']
378;Macit Karaahmetoğlu;SPD;Macit;Karaahmetoğlu;macit.karaahmetoğlu@bundestag.de;Ludwigsburg;['70806', '70825', '70839', '71254', '71282', '71634', '71636', '71638', '71640', '71642', '71665', '71679', '71686', '71696', '71701', '71706', '71735', '71739', '74372']
379;Sandra Detzer;Grüne;Sandra;Detzer;sandra.detzer@bundestag.de;Ludwigsburg;['70806', '70825', '70839', '71254', '71282', '71634', '71636', '71638', '71640', '71642', '71665', '71679', '71686', '71696', '71701', '71706', '71735', '71739', '74372']
380;Steffen Bilger;CDU/CSU (CDU);Steffen;Bilger;steffen.bilger@bundestag.de;Ludwigsburg;['70806', '70825', '70839', '71254', '71282', '71634', '71636', '71638', '71640', '71642', '71665', '71679', '71686', '71696', '71701', '71706', '71735', '71739', '74372']
381;Armin Grau;Grüne;Armin;Grau;armin.grau@bundestag.de;Ludwigshafen/Frankenthal;['67059', '67061', '67063', '67065', '67067', '67069', '67071', '67112', '67117', '67122', '67125', '67126', '67127', '67133', '67134', '67136', '67141', '67227', '67240', '67245', '67258', '67259', '67459']
382;Christian Schreider;SPD;Christian;Schreider;christian.schreider@bundestag.de;Ludwigshafen/Frankenthal;['67059', '67061', '67063', '67065', '67067', '67069', '67071', '67112', '67117', '67122', '67125', '67126', '67127', '67133', '67134', '67136', '67141', '67227', '67240', '67245', '67258', '67259', '67459']
383;Frank Junge;SPD;Frank;Junge;frank.junge@bundestag.de;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;['18209', '18211', '18225', '18230', '18233', '18236', '18239', '19065', '19067', '19079', '19086', '19089', '19370', '19372', '19372', '19372', '19372', '19372', '19372', '19372', '19374', '19376', '19386', '19395', '19399', '19406', '19412', '19417', '23936', '23936', '23936', '23936', '23936', '23936', '23936', '23936', '23936', '23942', '23946', '23948', '23966', '23968', '23970', '23972', '23974', '23992', '23996', '23999']
384;Simone Borchardt;CDU/CSU (CDU);Simone;Borchardt;simone.borchardt@bundestag.de;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;['18209', '18211', '18225', '18230', '18233', '18236', '18239', '19065', '19067', '19079', '19086', '19089', '19370', '19372', '19372', '19372', '19372', '19372', '19372', '19372', '19374', '19376', '19386', '19395', '19399', '19406', '19412', '19417', '23936', '23936', '23936', '23936', '23936', '23936', '23936', '23936', '23936', '23942', '23946', '23948', '23966', '23968', '23970', '23972', '23974', '23992', '23996', '23999']
385;Martin Kröber;SPD;Martin;Kröber;martin.kröber@bundestag.de;Magdeburg;['39104', '39106', '39108', '39110', '39112', '39114', '39116', '39118', '39120', '39122', '39124', '39126', '39128', '39130', '39218', '39221', '39240', '39245', '39245', '39249']
386;Tino Sorge;CDU/CSU (CDU);Tino;Sorge;tino.sorge@bundestag.de;Magdeburg;['39104', '39106', '39108', '39110', '39112', '39114', '39116', '39118', '39120', '39122', '39124', '39126', '39128', '39130', '39218', '39221', '39240', '39245', '39245', '39249']
387;Mariana Harder-Kühnel;AfD;Mariana;Harder-Kühnel;mariana.harder-kühnel@bundestag.de;Main-Kinzig – Wetterau II – Schotten;['36381', '36391', '36396', '63571', '63579', '63584', '63589', '63599', '63607', '63619', '63628', '63633', '63636', '63637', '63639', '63654', '63674', '63679', '63683', '63688', '63694', '63695', '63697', '63699']
388;Bettina Müller;SPD;Bettina;Müller;bettina.müller@bundestag.de;Main-Kinzig – Wetterau II – Schotten;['36381', '36391', '36396', '63571', '63579', '63584', '63589', '63599', '63607', '63619', '63628', '63633', '63636', '63637', '63639', '63654', '63674', '63679', '63683', '63688', '63694', '63695', '63697', '63699']
389;Alexander Hoffmann;CDU/CSU (CSU);Alexander;Hoffmann;alexander.hoffmann@bundestag.de;Main-Spessart;['63785', '63820', '63834', '63839', '63840', '63843', '63849', '63853', '63863', '63868', '63897', '63906', '63911', '63916', '63920', '63924', '63925', '63927', '63928', '63930', '63931', '63933', '63934', '63936', '63937', '63939', '97225', '97267', '97282', '97289', '97450', '97737', '97753', '97773', '97775', '97776', '97778', '97780', '97782', '97783', '97785', '97788', '97791', '97794', '97816', '97828', '97833', '97834', '97836', '97837', '97839', '97840', '97842', '97843', '97845', '97846', '97848', '97849', '97851', '97852', '97854', '97855', '97857', '97859', '97892', '97901', '97903', '97904', '97906', '97907', '97909']
390;Bernd Rützel;SPD;Bernd;Rützel;bernd.rützel@bundestag.de;Main-Spessart;['63785', '63820', '63834', '63839', '63840', '63843', '63849', '63853', '63863', '63868', '63897', '63906', '63911', '63916', '63920', '63924', '63925', '63927', '63928', '63930', '63931', '63933', '63934', '63936', '63937', '63939', '97225', '97267', '97282', '97289', '97450', '97737', '97753', '97773', '97775', '97776', '97778', '97780', '97782', '97783', '97785', '97788', '97791', '97794', '97816', '97828', '97833', '97834', '97836', '97837', '97839', '97840', '97842', '97843', '97845', '97846', '97848', '97849', '97851', '97852', '97854', '97855', '97857', '97859', '97892', '97901', '97903', '97904', '97906', '97907', '97909']
391;Kordula Schulz-Asche;Grüne;Kordula;Schulz-Asche;kordula.schulz-asche@bundestag.de;Main-Taunus;['61449', '61462', '61476', '65239', '65439', '65719', '65760', '65779', '65795', '65812', '65817', '65824', '65830', '65835', '65843']
392;Bettina Stark-Watzinger;FDP;Bettina;Stark-Watzinger;bettina.stark-watzinger@bundestag.de;Main-Taunus;['61449', '61462', '61476', '65239', '65439', '65719', '65760', '65779', '65795', '65812', '65817', '65824', '65830', '65835', '65843']
393;Norbert Altenkamp;CDU/CSU (CDU);Norbert;Altenkamp;norbert.altenkamp@bundestag.de;Main-Taunus;['61449', '61462', '61476', '65239', '65439', '65719', '65760', '65779', '65795', '65812', '65817', '65824', '65830', '65835', '65843']
394;Daniel Baldy;SPD;Daniel;Baldy;daniel.baldy@bundestag.de;Mainz;['55116', '55118', '55120', '55122', '55124', '55126', '55127', '55128', '55129', '55130', '55131', '55218', '55257', '55262', '55263', '55268', '55270', '55271', '55411', '55413', '55422', '55424', '55425', '55435', '55437', '55457', '55459', '55576', '55576', '55576', '55576', '55578', '55578']
395;Sebastian Münzenmaier;AfD;Sebastian;Münzenmaier;sebastian.münzenmaier@bundestag.de;Mainz;['55116', '55118', '55120', '55122', '55124', '55126', '55127', '55128', '55129', '55130', '55131', '55218', '55257', '55262', '55263', '55268', '55270', '55271', '55411', '55413', '55422', '55424', '55425', '55435', '55437', '55457', '55459', '55576', '55576', '55576', '55576', '55578', '55578']
396;Tabea Rößner;Grüne;Tabea;Rößner;tabea.rößner@bundestag.de;Mainz;['55116', '55118', '55120', '55122', '55124', '55126', '55127', '55128', '55129', '55130', '55131', '55218', '55257', '55262', '55263', '55268', '55270', '55271', '55411', '55413', '55422', '55424', '55425', '55435', '55437', '55457', '55459', '55576', '55576', '55576', '55576', '55578', '55578']
397;Isabel Cademartori;SPD;Isabel;Cademartori;isabel.cademartori@bundestag.de;Mannheim;['68159', '68161', '68163', '68165', '68167', '68169', '68199', '68219', '68229', '68239', '68259', '68305', '68307', '68309']
398;Melis Sekmen;Grüne;Melis;Sekmen;melis.sekmen@bundestag.de;Mannheim;['68159', '68161', '68163', '68165', '68167', '68169', '68199', '68219', '68229', '68239', '68259', '68305', '68307', '68309']
399;Konrad Stockmeier;FDP;Konrad;Stockmeier;konrad.stockmeier@bundestag.de;Mannheim;['68159', '68161', '68163', '68165', '68167', '68169', '68199', '68219', '68229', '68239', '68259', '68305', '68307', '68309']
400;Gökay Akbulut;Linke;Gökay;Akbulut;gökay.akbulut@bundestag.de;Mannheim;['68159', '68161', '68163', '68165', '68167', '68169', '68199', '68219', '68229', '68239', '68259', '68305', '68307', '68309']
401;Ingo Bodtke;FDP;Ingo;Bodtke;ingo.bodtke@bundestag.de;Mansfeld;['06120', '06179', '06193', '06193', '06193', '06198', '06217', '06246', '06249', '06255', '06268', '06279', '06295', '06308', '06311', '06313', '06317', '06318', '06333', '06343', '06347', '06420', '06420', '06456', '06526', '06528', '06536', '06537', '06542', '06543', '06547', '06548']
402;Katrin Budde;SPD;Katrin;Budde;katrin.budde@bundestag.de;Mansfeld;['06120', '06179', '06193', '06193', '06193', '06198', '06217', '06246', '06249', '06255', '06268', '06279', '06295', '06308', '06311', '06313', '06317', '06318', '06333', '06343', '06347', '06420', '06420', '06456', '06526', '06528', '06536', '06537', '06542', '06543', '06547', '06548']
403;Robert Farle;fraktionslos (AfD);Robert;Farle;robert.farle@bundestag.de;Mansfeld;['06120', '06179', '06193', '06193', '06193', '06198', '06217', '06246', '06249', '06255', '06268', '06279', '06295', '06308', '06311', '06313', '06317', '06318', '06333', '06343', '06347', '06420', '06420', '06456', '06526', '06528', '06536', '06537', '06542', '06543', '06547', '06548']
404;Sören Bartol;SPD;Sören;Bartol;sören.bartol@bundestag.de;Marburg;['35037', '35039', '35041', '35043', '35075', '35080', '35083', '35085', '35091', '35094', '35096', '35102', '35112', '35117', '35216', '35232', '35236', '35239', '35260', '35274', '35279', '35282', '35287', '35288', '35719']
405;Stefan Heck;CDU/CSU (CDU);Stefan;Heck;stefan.heck@bundestag.de;Marburg;['35037', '35039', '35041', '35043', '35075', '35080', '35083', '35085', '35091', '35094', '35096', '35102', '35112', '35117', '35216', '35232', '35236', '35239', '35260', '35274', '35279', '35282', '35287', '35288', '35719']
406;Simona Koß;SPD;Simona;Koß;simona.koß@bundestag.de;Märkisch-Oderland – Barnim II;['15236', '15306', '15320', '15324', '15326', '15328', '15344', '15345', '15366', '15370', '15374', '15377', '15378', '15562', '16230', '16230', '16230', '16248', '16259', '16269', '16321', '16341', '16348', '16356', '16359']
407;Paul Ziemiak;CDU/CSU (CDU);Paul;Ziemiak;paul.ziemiak@bundestag.de;Märkischer Kreis II;['58636', '58638', '58640', '58642', '58644', '58675', '58706', '58708', '58710', '58762', '58769', '58791', '58802', '58809', '58840']
408;Bettina Lugk;SPD;Bettina;Lugk;bettina.lugk@bundestag.de;Märkischer Kreis II;['58636', '58638', '58640', '58642', '58644', '58675', '58706', '58708', '58710', '58762', '58769', '58791', '58802', '58809', '58840']
409;Enrico Komning;AfD;Enrico;Komning;enrico.komning@bundestag.de;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ;['17033', '17034', '17036', '17039', '17039', '17039', '17039', '17039', '17039', '17039', '17039', '17039', '17039', '17094', '17098', '17099', '17121', '17126', '17129', '17258', '17309', '17321', '17322', '17328', '17329', '17335', '17337', '17337', '17337', '17337', '17348', '17349', '17358', '17367', '17373', '17375', '17379', '17389', '17390', '17391', '17392', '17398', '17406', '17419', '17424', '17429', '17438', '17440', '17449', '17454', '17459', '17495', '17506', '17509']
410;Philipp Amthor;CDU/CSU (CDU);Philipp;Amthor;philipp.amthor@bundestag.de;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ;['17033', '17034', '17036', '17039', '17039', '17039', '17039', '17039', '17039', '17039', '17039', '17039', '17039', '17094', '17098', '17099', '17121', '17126', '17129', '17258', '17309', '17321', '17322', '17328', '17329', '17335', '17337', '17337', '17337', '17337', '17348', '17349', '17358', '17367', '17373', '17375', '17379', '17389', '17390', '17391', '17392', '17398', '17406', '17419', '17424', '17429', '17438', '17440', '17449', '17454', '17459', '17495', '17506', '17509']
411;Erik von Malottki;SPD;Erik;von;erik.von@bundestag.de;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ;['17033', '17034', '17036', '17039', '17039', '17039', '17039', '17039', '17039', '17039', '17039', '17039', '17039', '17094', '17098', '17099', '17121', '17126', '17129', '17258', '17309', '17321', '17322', '17328', '17329', '17335', '17337', '17337', '17337', '17337', '17348', '17349', '17358', '17367', '17373', '17375', '17379', '17389', '17390', '17391', '17392', '17398', '17406', '17419', '17424', '17429', '17438', '17440', '17449', '17454', '17459', '17495', '17506', '17509']
412;Ulrike Schielke-Ziesing;AfD;Ulrike;Schielke-Ziesing;ulrike.schielke-ziesing@bundestag.de;Mecklenburgische Seenplatte II – Landkreis Rostock III;['17039', '17087', '17089', '17091', '17109', '17111', '17139', '17153', '17154', '17159', '17166', '17168', '17179', '17192', '17194', '17207', '17209', '17213', '17214', '17217', '17219', '17235', '17237', '17248', '17252', '17255', '18246', '18249', '18273', '18276', '18279', '18292', '18299']
413;Johannes Arlt;SPD;Johannes;Arlt;johannes.arlt@bundestag.de;Mecklenburgische Seenplatte II – Landkreis Rostock III;['17039', '17087', '17089', '17091', '17109', '17111', '17139', '17153', '17154', '17159', '17166', '17168', '17179', '17192', '17194', '17207', '17209', '17213', '17214', '17217', '17219', '17235', '17237', '17248', '17252', '17255', '18246', '18249', '18273', '18276', '18279', '18292', '18299']
414;Barbara Lenk;AfD;Barbara;Lenk;barbara.lenk@bundestag.de;Meißen;['01445', '01458', '01462', '01468', '01471', '01477', '01558', '01561', '01587', '01589', '01591', '01594', '01609', '01612', '01616', '01623', '01640', '01662', '01665', '01683', '01689', '01900', '01936']
415;Klaus Wiener;CDU/CSU (CDU);Klaus;Wiener;klaus.wiener@bundestag.de;Mettmann I;['40699', '40721', '40723', '40724', '40764', '40789', '40822', '42781']
416;Martin Renner;AfD;Martin;Renner;martin.renner@bundestag.de;Mettmann I;['40699', '40721', '40723', '40724', '40764', '40789', '40822', '42781']
417;Kerstin Griese;SPD;Kerstin;Griese;kerstin.griese@bundestag.de;Mettmann II;['40878', '40880', '40882', '40883', '40885', '42489', '42549', '42551', '42553', '42555', '42579']
418;Ophelia Nick;Grüne;Ophelia;Nick;ophelia.nick@bundestag.de;Mettmann II;['40878', '40880', '40882', '40883', '40885', '42489', '42549', '42551', '42553', '42555', '42579']
419;Peter Beyer;CDU/CSU (CDU);Peter;Beyer;peter.beyer@bundestag.de;Mettmann II;['40878', '40880', '40882', '40883', '40885', '42489', '42549', '42551', '42553', '42555', '42579']
420;Achim Post;SPD;Achim;Post;achim.post@bundestag.de;Minden-Lübbecke I;['32312', '32339', '32351', '32361', '32369', '32423', '32425', '32427', '32429', '32457', '32469', '32479', '32609']
421;Frank Schäffler;FDP;Frank;Schäffler;frank.schäffler@bundestag.de;Minden-Lübbecke I;['32312', '32339', '32351', '32361', '32369', '32423', '32425', '32427', '32429', '32457', '32469', '32479', '32609']
422;Oliver Vogt;CDU/CSU (CDU);Oliver;Vogt;oliver.vogt@bundestag.de;Minden-Lübbecke I;['32312', '32339', '32351', '32361', '32369', '32423', '32425', '32427', '32429', '32457', '32469', '32479', '32609']
423;Schahina Gambir;Grüne;Schahina;Gambir;schahina.gambir@bundestag.de;Minden-Lübbecke I;['32312', '32339', '32351', '32361', '32369', '32423', '32425', '32427', '32429', '32457', '32469', '32479', '32609']
424;Albert Stegemann;CDU/CSU (CDU);Albert;Stegemann;albert.stegemann@bundestag.de;Mittelems;['48455', '48465', '48480', '48488', '48499', '48527', '48529', '48531', '49716', '49740', '49744', '49770', '49774', '49808', '49809', '49811', '49824', '49828', '49832', '49835', '49838', '49843', '49844', '49846', '49847', '49849']
425;Daniela De Ridder;SPD;Daniela;De;daniela.de@bundestag.de;Mittelems;['48455', '48465', '48480', '48488', '48499', '48527', '48529', '48531', '49716', '49740', '49744', '49770', '49774', '49808', '49809', '49811', '49824', '49828', '49832', '49835', '49838', '49843', '49844', '49846', '49847', '49849']
426;Jens Beeck;FDP;Jens;Beeck;jens.beeck@bundestag.de;Mittelems;['48455', '48465', '48480', '48488', '48499', '48527', '48529', '48531', '49716', '49740', '49744', '49770', '49774', '49808', '49809', '49811', '49824', '49828', '49832', '49835', '49838', '49843', '49844', '49846', '49847', '49849']
427;Philipp Hartewig;FDP;Philipp;Hartewig;philipp.hartewig@bundestag.de;Mittelsachsen;['04703', '04720', '04736', '04741', '04746', '04749', '09544', '09557', '09569', '09573', '09575', '09577', '09599', '09600', '09603', '09618', '09619', '09623', '09627', '09629', '09633', '09634', '09638', '09648', '09661', '09669']
428;Carolin Bachmann;AfD;Carolin;Bachmann;carolin.bachmann@bundestag.de;Mittelsachsen;['04703', '04720', '04736', '04741', '04746', '04749', '09544', '09557', '09569', '09573', '09575', '09577', '09599', '09600', '09603', '09618', '09619', '09623', '09627', '09629', '09633', '09634', '09638', '09648', '09661', '09669']
429;Gülistan Yüksel;SPD;Gülistan;Yüksel;gülistan.yüksel@bundestag.de;Mönchengladbach;['41061', '41063', '41065', '41066', '41068', '41069', '41169', '41179', '41189', '41199', '41236', '41238', '41239']
430;Kathrin Henneberger;Grüne;Kathrin;Henneberger;kathrin.henneberger@bundestag.de;Mönchengladbach;['41061', '41063', '41065', '41066', '41068', '41069', '41169', '41179', '41189', '41199', '41236', '41238', '41239']
431;Günter Krings;CDU/CSU (CDU);Günter;Krings;günter.krings@bundestag.de;Mönchengladbach;['41061', '41063', '41065', '41066', '41068', '41069', '41169', '41179', '41189', '41199', '41236', '41238', '41239']
432;Tanja Machalet;SPD;Tanja;Machalet;tanja.machalet@bundestag.de;Montabaur;['56203', '56204', '56206', '56235', '56237', '56242', '56244', '56249', '56271', '56271', '56271', '56335', '56337', '56337', '56337', '56355', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56357', '56368', '56370', '56377', '56379', '56410', '56412', '56414', '56422', '56424', '56427', '56428', '56457', '56459', '56462', '56470', '56472', '56472', '56472', '56472', '56472', '56472', '56472', '56472', '56472', '56477', '56479', '57520', '57520', '57583', '57612', '57612', '57614', '57614', '57614', '57627', '57629', '57629', '57629', '57629', '57629', '57629', '57629', '57629', '57629', '57629', '57629', '57629', '57629', '57629', '57629', '57629', '57629', '57629', '57642', '57644', '57645', '57647', '57648', '65558', '65582', '65623', '65624', '65626', '65629']
433;Marlon Bröhr;CDU/CSU (CDU);Marlon;Bröhr;marlon.bröhr@bundestag.de;Mosel/Rhein-Hunsrück;['54347', '54411', '54411', '54424', '54426', '54426', '54426', '54426', '54426', '54426', '54426', '54426', '54426', '54426', '54426', '54426', '54426', '54470', '54472', '54483', '54484', '54486', '54487', '54492', '54497', '54498', '54518', '54518', '54539', '55430', '55432', '55469', '55471', '55481', '55483', '55483', '55483', '55483', '55483', '55483', '55483', '55483', '55487', '55490', '55491', '55494', '55496', '55497', '55499', '56154', '56253', '56254', '56281', '56283', '56283', '56283', '56283', '56283', '56283', '56283', '56288', '56290', '56290', '56290', '56290', '56290', '56290', '56290', '56290', '56291', '56329', '56754', '56759', '56761', '56766', '56766', '56766', '56812', '56814', '56818', '56820', '56821', '56823', '56825', '56826', '56828', '56829', '56841', '56843', '56850', '56856', '56858', '56859', '56862', '56864', '56865', '56867', '56869']
434;Carina Konrad;FDP;Carina;Konrad;carina.konrad@bundestag.de;Mosel/Rhein-Hunsrück;['54347', '54411', '54411', '54424', '54426', '54426', '54426', '54426', '54426', '54426', '54426', '54426', '54426', '54426', '54426', '54426', '54426', '54470', '54472', '54483', '54484', '54486', '54487', '54492', '54497', '54498', '54518', '54518', '54539', '55430', '55432', '55469', '55471', '55481', '55483', '55483', '55483', '55483', '55483', '55483', '55483', '55483', '55487', '55490', '55491', '55494', '55496', '55497', '55499', '56154', '56253', '56254', '56281', '56283', '56283', '56283', '56283', '56283', '56283', '56283', '56288', '56290', '56290', '56290', '56290', '56290', '56290', '56290', '56290', '56291', '56329', '56754', '56759', '56761', '56766', '56766', '56766', '56812', '56814', '56818', '56820', '56821', '56823', '56825', '56826', '56828', '56829', '56841', '56843', '56850', '56856', '56858', '56859', '56862', '56864', '56865', '56867', '56869']
435;Sebastian Fiedler;SPD;Sebastian;Fiedler;sebastian.fiedler@bundestag.de;Mülheim – Essen I;['45141', '45143', '45327', '45355', '45356', '45356', '45356', '45356', '45356', '45357', '45359', '45468', '45470', '45472', '45473', '45475', '45476', '45478', '45479', '45481']
436;Astrid Timmermann-Fechter;CDU/CSU (CDU);Astrid;Timmermann-Fechter;astrid.timmermann-fechter@bundestag.de;Mülheim – Essen I;['45141', '45143', '45327', '45355', '45356', '45356', '45356', '45356', '45356', '45357', '45359', '45468', '45470', '45472', '45473', '45475', '45476', '45478', '45479', '45481']
437;Gerold Otten;AfD;Gerold;Otten;gerold.otten@bundestag.de;München-Land;['82008', '82024', '82031', '82041', '82049', '82054', '82061', '82064', '82065', '82067', '82069', '82131', '82166', '85521', '85540', '85551', '85579', '85609', '85622', '85630', '85635', '85640', '85649', '85653', '85662', '85716', '85737', '85748', '85764', '85774']
438;Anton Hofreiter;Grüne;Anton;Hofreiter;anton.hofreiter@bundestag.de;München-Land;['82008', '82024', '82031', '82041', '82049', '82054', '82061', '82064', '82065', '82067', '82069', '82131', '82166', '85521', '85540', '85551', '85579', '85609', '85622', '85630', '85635', '85640', '85649', '85653', '85662', '85716', '85737', '85748', '85764', '85774']
